Abilene;ABI;Texas;TX
Amarillo;AMA;Texas;TX
Austin/Bergstrom;AUS;Texas;TX
Austin/City;ATT;Texas;TX
Beaumont/Port Arthur;BPT;Texas;TX
Bristol/Jhnsn Cty/Kngsprt;TRI;Tennessee;TN
Brownsville;BRO;Texas;TX
Chattanooga;CHA;Tennessee;TN
Childress;CDS;Texas;TX
Clarksville;CKV;Tennessee;TN
College Station;CLL;Texas;TX
Corpus Christi;CRP;Texas;TX
Crossville;CSV;Tennessee;TN
Dalhart;DHT;Texas;TX
Dallas;DAL;Texas;TX
Dallas-Fort Worth;DFW;Texas;TX
Del Rio;DRT;Texas;TX
El Paso;ELP;Texas;TX
Fort Worth;FTW;Texas;TX
Galveston;GLS;Texas;TX
Houston;HOU;Texas;TX
Knoxville;TYS;Tennessee;TN
Lubbock;LBB;Texas;TX
Memphis;MEM;Tennessee;TN
Midland;MAF;Texas;TX
Nashville;BNA;Tennessee;TN
Oak Ridge;OQT;Tennessee;TN
Salt Lake City;SLC;Utah;UT
San Angelo;SJT;Texas;TX
San Antonio;SAT;Texas;TX
Victoria;VCT;Texas;TX
Waco;ACT;Texas;TX
Wichita Falls;SPS;Texas;TX
